-39.518,-156.55,50.646
-64.571,-142.27,79.916
-28.394,-167.87,85.431
-5.9403,-227.88,329.71
0.72613,-186.96,175.39
14.242,-241.74,416.71
-17.735,-129.11,64.789
-60.765,-153.79,91.372
-35.751,-147.22,168.14
68.6,-222.65,465.66
64.959,-258.89,469.88
53.606,-226.19,387.27
-37.782,-191.11,212.55
-57.011,-135.89,-2.2062
49.829,-262.75,467.4
-5.3237,-219.95,357.11
-55.673,-87.577,9.0016
-16.327,-209.48,313.33
-65.841,-143,63.31
23.163,-211.24,432.6
-22.943,-131.52,122.11
-23.698,-154.04,63.087
-26.665,-163.14,219
-21.706,-156.15,205.48
20.128,-195.18,371.86
-13.698,-208.76,324.5
45.217,-219.68,354.5
9.4081,-200.93,377.89
25.06,-204.62,273.05
-59.503,-141.9,105.14
-63.062,-101.51,32.874
54.575,-231.79,393.74
-33.403,-176.62,106.05
4.2379,-179.55,178.17
36.603,-259.21,473.32
1.4062,-177.07,165.5
7.0419,-214.65,244.4
-1.4307,-199.02,193.3
48.598,-210.02,383.55
-12.529,-222.08,303.05
-15.966,-137.7,131.23
4.9358,-172.75,262.66
-34.998,-163.81,70.881
60.576,-262.92,475.86
-55.149,-153.82,131.81
-73.039,-122.63,29.731
-28.914,-159.29,65.435
18.042,-230.1,303.98
-16.817,-215.66,246.33
-18.461,-193.04,295.67
2.4318,-167.4,169.93
-19.621,-139.8,52.823
-53.626,-157.28,61.15
11.42,-241.21,396.44
21.447,-213.89,435.4
-12.727,-210.05,328.5
-13.835,-219.11,260.74
7.6805,-170.55,223.45
-24.143,-210.15,242.42
-23.118,-144.91,169.78
35.675,-198.23,364.88
-45.922,-175.39,179.85
-68.036,-127.68,-11.988
-51.873,-147.7,136.84
-10.158,-207.72,337.24
-1.9807,-219.77,251.64
48.849,-232.96,377.41
-43.05,-129.56,117.78
-24.502,-133.23,28.637
-41.012,-123.85,-23.152
3.4409,-165.55,185.68
0.23375,-184.26,170.06
57.767,-215.88,483.39
-23.928,-144.32,46.034
-71.372,-128.5,37.887
-14.379,-220.11,274.27
-22.582,-210.23,230.18
-13.233,-165.49,105.88
-31.991,-115.27,-17.673
-11.424,-148.74,172.24
-61.45,-150.55,95.272
-10.304,-142.93,123.89
-55.793,-142.84,118.75
6.8167,-188.6,195.52
-2.2912,-212.71,367.68
-19.275,-208.77,299.77
-26.129,-200.28,184.3
-11.674,-218.94,326.13
-10.254,-217.55,244.38
-29.008,-184.68,253.3
44.507,-223.36,353.72
9.8996,-230.83,416.35
68.632,-258.72,476.82
-33.984,-100.76,29.973
4.0645,-170.14,248.61
28.412,-201.6,286.49
58.857,-229.07,407.31
2.1814,-168.58,244.23
-24.539,-146.69,175.38
-8.0195,-212.46,347.23
9.3042,-172.58,231.41
-17.803,-216.53,287.45
-50.982,-105.01,53.032
-15.654,-193.36,160.8
-19.677,-148.04,179.57
-73.746,-118.12,25.755
8.161,-183.37,196.14
32.87,-212.11,452.73
-32.38,-116.82,83.004
-28.929,-108.21,-10.122
-35.633,-192.74,169.82
-18.686,-216.21,275.06
24.449,-219.55,290.14
-37.568,-193.45,198.38
-22.053,-166.73,90.609
-64.623,-127.83,-18.325
-26.055,-110.16,32.502
37.404,-202.84,411.65
-12.387,-184.74,295.23
-29.621,-145.37,169.31
-14.482,-173.46,117.08
11.132,-239.45,344.77
-63.516,-147.75,78.682
-29.775,-170.35,90.372
65.741,-239.56,436.59
-32.799,-177.13,232.38
64.524,-220.82,445.28
-23.514,-115.56,41.413
-5.8987,-168.2,130.98
-71.302,-117.41,36.927
-34.735,-117.12,-22.84
-32.037,-95.749,-5.0553
3.893,-165.76,192.15
-60.577,-135.73,94.833
-9.7432,-167.07,117.59
21.422,-239.96,459.3
-14.735,-174.01,264.07
-63.15,-121.61,68.082
30.372,-252.38,479.51
-2.4514,-175.79,281.13
-23.404,-120.87,77.665
1.4398,-213.08,380.1
3.5034,-193.6,347.01
-28.7,-175.02,240
-26.834,-142.57,36.52
-59.193,-147.21,36.751
-70.705,-96.769,10.425
11.574,-222.91,273.61
21.474,-248.52,401.19
-11.013,-223.61,306.77
-13.812,-181.09,133.67
14.129,-191.19,351.14
14.725,-228.17,435.35
2.3674,-211.58,381.24
27.479,-249.96,470.31
4.9487,-172.65,262.05
11.876,-179.83,291.81
-34.433,-110.44,64.548
-39.338,-97.638,29.959
29.447,-232.89,330.4
20.712,-185.54,301.72
65.473,-229.32,433.5
53.367,-211.23,447.61
-1.4049,-215.95,372.79
-8.2237,-174.3,272.22
10.497,-204.24,228.55
1.873,-164.58,217.5
6.2008,-192.18,346.88
-52.824,-146.95,26.686
-17.826,-133.56,117.31
46.116,-208.08,374.56
-21.722,-210.63,229.34
7.5729,-201.85,217.34
9.0781,-203.48,383.66
-8.7012,-217.06,343.79
27.33,-245.12,369.68
35.942,-210.79,452.22
-30.315,-112.86,65.983
-58.929,-145.42,29.762
-18.789,-159.37,82.686
24.075,-214.64,443.06
24.295,-191.69,277.16
-29.758,-178.04,110.62
-33.968,-165.83,211.11
10.51,-177.16,211.93
-16.647,-201.6,310.39
11.473,-181.2,301.44
-50.95,-90.861,17.913
-56.452,-146.37,28.749
-26.769,-204.55,208.07
-47.054,-165.47,79.117
-66.963,-133.46,66.716
27.903,-232.16,482.43
-30.029,-134.04,136.14
-7.4359,-174.09,272.17
-2.6051,-191.11,329.46
61.993,-217.06,450.41
43.995,-243.17,385.73
-13.297,-157.95,94.902
-68.769,-130.67,56.116
-8.2433,-146.82,140.27
67.096,-231.57,439.13
37.171,-199.5,355.07
-31.408,-154.24,190.7
29.499,-209.35,292.05
-36.211,-116.17,83.951
55.598,-221.54,396.47
43.69,-214.45,475.47
3.3754,-166.34,222.84
4.1202,-215.37,390.87
-32.432,-114.25,-20.358
20.009,-184.45,284.7
-5.4713,-221.89,354.6
60.584,-234.17,415.48
-34.748,-141.16,154.18
-14.387,-217.81,253.13
9.8675,-208.22,234.73
-5.9192,-225.27,280.59
22.267,-187.03,284.02
-1.1904,-160.23,154.58
18.734,-197.36,245.21
22.965,-215,278.42
-60.206,-124.8,80.359
58.818,-215.01,470.1
27.68,-253.18,441.13
37.544,-215.21,470.4
22.412,-203.86,262.99
-32.029,-95.204,-11.461
-64.625,-105.33,37.464
0.8618,-233.84,334.85
39.949,-218.17,334.59
7.8178,-173.51,258.83
-21.59,-171.86,102.21
5.4073,-173.44,182.96
-30.671,-161.66,68.821
49.387,-249.39,413.34
-15.582,-187.4,145.59
-20.643,-123,70.984
42.215,-203.98,367.03
22.041,-187.03,311.79
-23.504,-147.81,179.08
24.777,-250.89,415.8
-19.609,-127.22,48.569
-28.683,-115.52,-5.3505
44.754,-225.21,356.05
67.451,-233.32,440.12
61.991,-216.69,472.87
-1.5705,-198.07,347.94
-48.268,-162.4,70.271
-37.755,-171.46,91.37
13.114,-225,428.18
-41.55,-179.89,124.23
-19.618,-188.88,145.61
-74.776,-95.777,-0.82449
73.801,-229.39,472.97
-8.8669,-150.65,174.3
-37.985,-133.13,130.91
17.496,-227.41,444.55
51.372,-209.86,409.84
-49.829,-170.1,104.16
13.407,-208.86,243.85
-66.82,-133.91,67.59
18.485,-184.75,254.86
-12.549,-213.79,328.3
8.9226,-228.39,289.09
59.848,-255.96,451.85
23.978,-250.68,423.97
-30.131,-101.39,14.407
-20.1,-198.64,174.51
28.817,-247.85,483.65
-8.9995,-151.49,179.38
42.071,-207.7,440.83
-36.069,-153.51,182.04
48.196,-245.87,401.3
-19.537,-132.13,47.752
20.513,-231.85,312.78
23.687,-230.54,467.4
10.929,-183.75,316.05
-41.675,-153.87,172.1
-0.19556,-159.62,177.66
-19.83,-138.2,50.46
37.567,-253.15,413.33
-73.328,-97.099,4.8976
-14.573,-156.17,88.707
-25.818,-207.77,256.4
9.3587,-237.6,334.46
23.231,-249.49,404.26
-19.811,-140.89,153.62
-43.977,-166.83,80.327
44.839,-256.34,432.67
-32.032,-200.17,204.52
-18.513,-127.36,82.347
-40.591,-126.94,-16.428
-45.402,-111.22,70.842
-31.699,-177.37,235.89
-12.999,-142.73,146.25
6.7655,-216.68,400.51
-59.055,-136.65,1.7648
34.348,-223.2,485.99
-24.364,-120.77,18.401
-54.032,-159.51,70.767
41.483,-256.93,434.46
11.445,-187.39,211.48
-3.2705,-228.02,293.21
-27.885,-139.9,154.03
23.084,-192.43,356.39
14.891,-206.65,403.75
-16.241,-215.93,246.26
19.512,-198.84,386.8
-52.78,-165.12,144.33
48.859,-232.92,377.38
-33.048,-158.35,59.022
-63.419,-130.5,79.303
26.896,-245.67,372.17
-68.165,-137.86,41.008
-44.037,-148.56,157.25
63.167,-218.24,450.58
33.543,-224.19,486.2
-63.761,-146.9,78.957
-2.9248,-180.1,296.24
-56.865,-147.51,33.108
31.205,-224.35,480.72
9.7657,-188.95,205.97
-28.444,-204.61,218.5
-27.074,-153.22,192.96
47.409,-214.67,479.43
-1.7093,-235.48,449.78
5.1964,-216.33,456.46
-61.603,-131.03,-1.7154
-41.603,-151.44,200.78
-37.419,-199.17,186.76
-30.375,-156.57,107.5
-80.148,-149.63,104.74
-16.147,-192.97,198.98
19.812,-259.11,481.37
-73.035,-161,145.04
-24.349,-157.82,134.03
-17.662,-210.55,384.72
-14.397,-218.89,402.25
-50.19,-198.02,249.43
1.2358,-244.65,385.4
-18.069,-160.66,204.53
31.391,-238.87,399.84
-56.352,-86.186,-7.1528
-95.045,-106.06,15.336
-84.987,-139.74,42.014
-84.905,-98.672,31.392
18.909,-251.48,418.65
-88.033,-91.933,13.484
-52.979,-116.5,93.243
45.278,-238.53,438.4
41.53,-214.07,466.43
-11.12,-191.22,356.84
8.7654,-228.66,326.22
-83.831,-105.3,45.469
3.3383,-188.36,345.09
-74.817,-149.76,133.68
41.731,-236.24,424.97
31.645,-251.78,433.64
-72.403,-122.2,97.349
-37.452,-130.36,115.16
-6.566,-238.38,418.62
-34.981,-146.29,181.16
-85.267,-129.37,75.257
-81.561,-135.37,95.192
14.163,-218.74,482.53
44.449,-218.03,449.98
-91.256,-124.89,3.9014
4.7715,-246.41,392.95
-80.132,-149.13,62.438
-19.439,-187.83,182.24
-49.456,-139.25,31.852
-87.032,-111.05,47.737
-70.305,-169.54,121.84
-54.997,-94.327,21.341
-8.6469,-186.07,213.44
-65.835,-175.31,130.92
-1.9199,-213.14,269.35
-56.868,-186.67,224.14
45.575,-217.92,460
-4.1072,-242.83,405.78
3.397,-246.94,446.77
-22.351,-160.24,144.64
-1.6824,-188.18,244.73
-43.093,-126.53,115.36
-87.802,-130.42,62.796
-71.489,-141.16,19.331
-78.229,-149.75,117.68
10.26,-239.54,360.8
-85.132,-140.89,51.207
4.2574,-186.59,295.01
-46.466,-199.1,271.02
25.448,-248.38,412.67
-32.819,-154.95,97.495
-37.516,-139.15,155.8
8.7531,-194.3,296.43
-23.082,-159.29,220.65
-42.387,-208.41,236.39
-38.128,-124.95,83.337
-45.187,-178.67,261.05
-71.578,-159.37,76.906
-97.115,-111.63,3.1172
-42.774,-137.29,154.62
29.443,-247.92,417.76
-9.1565,-176.51,289.81
-23.537,-189.96,332.57
-31.316,-170.98,125.57
-31.978,-146.07,175.18
-61.295,-177.43,126.51
-53.697,-185.35,240.25
13.042,-194.39,365.74
13.805,-255.08,470.73
-16.481,-193.5,199.14
29.587,-249.7,423.52
-28.765,-189.33,167.09
-58.444,-178.37,217.89
3.869,-233.47,472.81
-71.334,-169.08,134.13
-33.646,-155.56,95.728
39.31,-213.34,439.37
-53.769,-109.61,72.009
20.204,-203.27,346.03
35.173,-209.82,444.67
-13.711,-182.47,322.33
-9.1927,-199.72,227.64
-96.022,-102.99,8.6522
20.825,-208.16,457
-56.124,-131.86,6.7831
-3.6945,-185.6,235.76
-68.002,-171.51,119.9
1.4109,-232.21,324.58
-44.253,-166.32,94.188
15.584,-199.05,328.64
-53.995,-162.83,211.93
13.39,-254,442.59
19.931,-214.21,335.87
-39.389,-124.82,50.647
-13.715,-235.96,361.47
5.4306,-206.07,430.32
18.077,-210.89,328
-58.102,-121.24,-16.605
-55.645,-192.88,192.37
-39.429,-211.15,243.45
-65.087,-124.28,111.35
-2.1901,-181.27,302.5
-29.484,-141.51,124.41
7.7581,-245.07,382.72
23.955,-214.8,351.53
2.6034,-239.17,465.44
-8.9023,-219.01,420.84
-11.026,-237.09,353.14
-17.799,-201.07,211.61
-14.929,-204.72,224.94
-26.797,-178.24,295.45
-38.654,-180.48,133.48
1.0097,-197.62,394.43
-7.0037,-194.95,227.1
-35.744,-180.03,285.2
-41.645,-210.61,267.42
22.123,-218.5,345.89
-23.848,-153.75,189.3
-56.69,-118.63,101.05
-46.515,-204.82,252.6
-19.746,-230.74,355.4
-0.61666,-197.51,392.14
-10.43,-206.48,398.35
16.967,-220.58,493.1
-45.541,-119.47,92.872
-58.186,-167.55,208.86
-23.044,-167.85,144.87
-51.728,-191.39,248.89
-21.501,-226.19,365.7
-28.295,-151.07,112.85
-45.373,-130.56,133.32
-9.6986,-171.56,227.44
-60.601,-184.08,157.56
-40.17,-163.6,94.418
-47.036,-116.48,84.691
-66.487,-177.24,153.87
-42.042,-168.56,247.14
-9.2626,-236.24,340.53
-21.447,-224.21,283.28
-90.083,-103.75,28.881
53.209,-231.51,465.82
11.511,-222.66,319.6
-39.164,-152.07,203.58
-60.952,-120.61,105.52
-18.567,-195.4,198.19
-3.2828,-241.73,425.88
-66.512,-160.16,71.909
-58.3,-142.65,26.807
-39.97,-130.22,123.39
-57.718,-94.976,29.914
-37.544,-188.25,154.28
-79.739,-152.36,80.142
-54.874,-88.843,-2.4296
-41.059,-204.8,294.16
-30.668,-194.51,177.24
-53.34,-143.47,169.84
6.2119,-247.89,402.37
-44.405,-116.67,18.846
-20.681,-156.31,181.23
-57.215,-116.04,93.752
-26.89,-223.48,289.83
26.885,-210.21,368.46
-34.5,-214.36,316.15
30.266,-208.16,452.55
9.8571,-201.36,418.09
-44.675,-173.89,253.61
23.067,-206.28,355.48
-5.198,-238.41,427.02
-17.38,-192.38,350.42
-82.709,-126.46,-14.422
-24.448,-153.62,191.58
-0.15694,-213.21,437.04
-3.6928,-179.56,293.41
-87.255,-133.79,24.791
-36.976,-127.84,69.718
-50.841,-102.18,-20.821
18.839,-253.82,431.54
20.34,-203.43,430.49
50.896,-221.1,484.26
-61.36,-125.11,116.66
21.652,-201.85,362.98
2.565,-246.54,442.33
12.594,-252.73,431.18
-2.8211,-243.73,410.37
-92.161,-117.5,36.029
29.937,-213.55,488.1
15.693,-195.92,360.02
-90.2,-121.11,-17.549
-34.639,-217.8,280.87
-32.248,-137.66,128
-12.666,-227.31,408.42
-21.118,-199.04,201.35
-30.766,-221.67,301.05
-23.89,-227.43,338.59
-85.087,-141.81,62.806
-27.849,-174.02,281.29
-58.74,-130.61,0.68228
-31.181,-149.15,187.74
-36.887,-180.1,134.64
12.313,-193.28,350.42
4.5329,-245.2,384.58
-28.158,-218.77,262.15
21.096,-200.26,373.14
21.569,-219.18,498.62
-92.786,-88.996,-0.90564
-40.557,-200.97,298.1
-59.903,-99.825,47.834
-6.9879,-198.82,386.99
-14.212,-235.5,368.28
19.205,-201.66,418.92
-23.956,-170.27,144.26
-71.925,-130.83,-7.8309
-54.537,-129.17,4.2409
-62.24,-157.13,60.875
-30.089,-143.82,104.72
-72.034,-132.95,118.58
-55.317,-118.88,101.56
-66.592,-126.82,-15.316
-0.89305,-224.82,451.78
-59.703,-118.66,100.86
51.931,-222.93,479.37
-34.802,-168.32,256.68
-82.817,-146.75,76.931
-7.566,-213.23,257.91
13.621,-235.01,351.94
-64.786,-179.82,172.6
12.789,-215.51,312.56
-28.576,-219.09,341.16
-49.777,-197.24,254.02
-34.223,-217.11,267.94
-33.271,-173.24,272.51
12.885,-216.13,313.57
-24.945,-185.41,318.43
49.776,-241.57,455.58
-39.616,-134.59,51.794
-47.445,-188.81,153.36
-21.842,-158.23,149.28
-53.846,-164.58,215.48
25.006,-204.08,426.96
-34.862,-141.59,161.16
-13.674,-201.38,380.03
-81.723,-136.91,17.842
-87.156,-133.91,65.607
-62.154,-174.24,200.44
-7.4565,-173.99,246.64
-51.827,-92.401,-11.478
-44.2,-144.61,178.84
46.978,-233.73,440.86
-85.04,-137.61,31.349
-43.264,-207.4,232.82
-67.234,-129.91,-8.605
-2.5259,-185.54,335.75
-63.898,-93.256,31.627
10.487,-193.6,311.81
-1.7098,-192.32,370.19
-86.879,-96.675,24.223
-53.562,-132.49,140.54
8.5924,-231.45,488.17
-4.4387,-214.31,266.4
-44.609,-130.47,29.677
-18.283,-208.77,380.73
49.349,-221.64,467.08
-75.26,-157.87,132.64
-36.74,-132.71,124.43
-30.385,-184.85,306.87
-45.212,-205.29,265.5
3.4335,-187.03,332.87
32.206,-211.41,395.74
-48.573,-154.32,62.771
-73.647,-158.87,80.606
21.322,-212.17,474.7
23.601,-228.79,361.88
41.101,-229.69,418.4
48.445,-253.98,472.48
0.40654,-188.92,255.25
-41.878,-156.27,214.96
16.003,-244.68,386.66
-26.929,-159.04,122.67
-64.023,-137.2,141.49
-37.227,-168.39,108.99
-96.548,-104.24,7.3835
-48.224,-101.14,8.2143
-37.421,-145.91,181.9
17.997,-254.89,439.31
-50.174,-96.399,-3.3877
-75.329,-134.86,3.6722
-7.0689,-175.55,233.02
-65.761,-177.48,145.36
-33.229,-152.48,93.231
-14.196,-167.38,193.44
1.0693,-183.74,277.28
-15.598,-201.52,216.68
-31.382,-211.71,335.54
-81.46,-144.63,99.407
-47.131,-157.5,71.385
-73.799,-152.87,57.626
-89.906,-130.33,27.321
-52.08,-139.02,159.23
-92.438,-87.056,-3.4932
5.2875,-235.78,341.5
-29.698,-172.86,132.48
-23.13,-179.77,304.63
6.8946,-193.59,376.54
-87.326,-130.58,10.281
-21.089,-155.97,184.6
-28.791,-188.3,317.88
-37.352,-191.7,163.91
-44.52,-116.7,78.023
-72.775,-165.67,138.4
-66.147,-108.56,62.422
4.8846,-246.51,415.13
11.748,-260.23,482.23
-12.699,-204.39,437.2
-90.779,-163.02,104.15
-57.157,-142.3,72.928
-61.788,-153.3,78.594
-27.423,-187.96,222.92
-54.139,-140.61,82.799
-89.184,-121.35,107.6
13.456,-207.95,412.76
-33.798,-164.72,199.64
-67.674,-99.915,5.5469
-25.522,-205.01,252
-1.227,-215.54,491.44
-42.924,-207.35,369.14
-38.663,-201.36,218.43
-61.143,-134.87,51.001
-42.609,-151.68,152.78
35.814,-224.65,490.59
-76.193,-190.13,209.81
-90.695,-114.35,90.605
-63.451,-109.98,50.485
-19.032,-181.03,305.22
-63.516,-205.27,271.68
-84.932,-77.017,-5.3674
-48.724,-169.67,135.47
-30.932,-221.47,418.52
-63.131,-110.93,33.239
19.625,-234.74,421.52
-78.297,-186.42,181.85
-65.121,-155.31,217.73
1.0785,-226.58,357.22
-86.023,-154.91,173.91
-7.8788,-199.24,306.72
-22.13,-240.82,429.42
-23.079,-241.29,413.45
-39.724,-227.81,322.08
-74.881,-182.65,236.74
-104.77,-139.3,71.028
-60.057,-134.02,151.65
-62.358,-138.29,168.62
8.09,-204.36,390.76
-35.452,-215.53,261.49
-15.639,-243.34,389.26
-19.449,-235.91,459.51
-64.755,-118.48,99.946
-95.055,-151.26,66.882
-86.209,-120.9,110.31
-85.102,-161.36,85.192
-82.042,-127.55,130.19
-69.667,-121.67,8.282
-91.418,-163.98,151.15
-80.225,-123.77,-7.8078
-102.69,-143.81,82.791
-16.024,-205.43,434.62
-26.816,-226.25,434.29
25.045,-222.1,438.68
-75.496,-99.628,52.863
-10.82,-214.06,305.11
-72.86,-163.71,89.07
-77.844,-176.71,222.46
-56.884,-128.73,120.48
-3.2406,-211.29,326.09
-3.1238,-195.52,389.85
-46.783,-147.17,124.05
-22.319,-230.96,326.7
-106.58,-92.818,24.375
-29.059,-205.65,406.6
-75.559,-189.06,183.09
-89.212,-159.62,85.223
7.2305,-202.54,398.92
-89.976,-159.28,162.73
-80.363,-172.33,210.05
